Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\Scaffold_V1_1\Project Outputs for Scaffold\Pick Place\Pick Place for Scaffold(Resistors DUT to platform not mounted).csv

========================================================================================================================
File Design Information:

Date:       26/06/19
Time:       10:12
Revision:   Not in VersionControl
Variant:    Resistors DUT to platform not mounted
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"F203","PTC - 1A - 0.5A - 6VDC","TopLayer","FUSE_0805","73.6000","137.2250","270","Fuse 0805 - PTC Resettable - 1A - 0.5A - 6VDC - 0.9Ohms"
"F202","PTC - 1A - 0.5A - 6VDC","TopLayer","FUSE_0805","58.1250","137.1000","270","Fuse 0805 - PTC Resettable - 1A - 0.5A - 6VDC - 0.9Ohms"
"F201","PTC - 1A - 0.5A - 6VDC","TopLayer","FUSE_0805","25.4500","140.8500","180","Fuse 0805 - PTC Resettable - 1A - 0.5A - 6VDC - 0.9Ohms"
"F200","PTC - 1A - 0.5A - 6VDC","TopLayer","FUSE_0805","36.4500","138.0250","180","Fuse 0805 - PTC Resettable - 1A - 0.5A - 6VDC - 0.9Ohms"
"THP207","Misc - Test pin - Through hole - Millmax - 6821-0-00-15-00-00-08-0","TopLayer","MILLMAX_6821-0-00-15-00-00-08-0","85.0000","123.4250","270","Misc - Test pin - Through hole - Millmax - 6821-0-00-15-00-00-08-0"
"U604","#NAME?","TopLayer","SOT95P280X145-6N","70.9000","29.5000","270","Logic - Level Shifter - 1.65V - 5.5V - 420Mbps -3-state - SOT23-6 - Texas Instruments - SN74LVC1T45DBVR"
"U603","IC - USB-to-UART 1-CH 256Byte FIFO - 5V - 28-Pin SSOP","TopLayer","SSOP28DB","42.6000","97.0870","0","IC - USB-to-UART 1-CH 256Byte FIFO - 5V - 28-Pin SSOP"
"U602","#NAME?","TopLayer","SOT95P280X145-6N","54.9250","29.4000","270","Logic - Level Shifter - 1.65V - 5.5V - 420Mbps -3-state - SOT23-6 - Texas Instruments - SN74LVC1T45DBVR"
"U601","#NAME?","TopLayer","SOT95P280X145-6N","38.9750","29.4500","270","Logic - Level Shifter - 1.65V - 5.5V - 420Mbps -3-state - SOT23-6 - Texas Instruments - SN74LVC1T45DBVR"
"U600","#NAME?","TopLayer","SOT95P280X145-6N","23.0250","29.5000","270","Logic - Level Shifter - 1.65V - 5.5V - 420Mbps -3-state - SOT23-6 - Texas Instruments - SN74LVC1T45DBVR"
"THP206","Misc - Test pin - Through hole - Millmax - 6821-0-00-15-00-00-08-0","TopLayer","MILLMAX_6821-0-00-15-00-00-08-0","180.9997","50.6503","270","Misc - Test pin - Through hole - Millmax - 6821-0-00-15-00-00-08-0"
"THP205","Misc - Test pin - Through hole - Millmax - 6821-0-00-15-00-00-08-0","TopLayer","MILLMAX_6821-0-00-15-00-00-08-0","63.1750","123.4250","270","Misc - Test pin - Through hole - Millmax - 6821-0-00-15-00-00-08-0"
"THP204","Misc - Test pin - Through hole - Millmax - 6821-0-00-15-00-00-08-0","TopLayer","MILLMAX_6821-0-00-15-00-00-08-0","47.1000","123.4250","270","Misc - Test pin - Through hole - Millmax - 6821-0-00-15-00-00-08-0"
"R605","10KOhm","TopLayer","RES0603","45.0250","106.1250","180","Resistor 0603 -    10KOhm - 1/10W - 1%"
"R604","10KOhm","TopLayer","RES0603","75.0500","30.1000","90","Resistor 0603 -    10KOhm - 1/10W - 1%"
"R603","4.75 KOhm","TopLayer","RES0603","44.2500","108.5500","90","Resistor 0603 - 4.75KOhm - 1/10W - 1%"
"R602","10KOhm","TopLayer","RES0603","59.0250","29.9500","90","Resistor 0603 -    10KOhm - 1/10W - 1%"
"R601","10KOhm","TopLayer","RES0603","43.1500","30.0500","90","Resistor 0603 -    10KOhm - 1/10W - 1%"
"R600","10KOhm","TopLayer","RES0603","27.1750","30.1000","90","Resistor 0603 -    10KOhm - 1/10W - 1%"
"R110","10KOhm","TopLayer","RES0603","71.1790","53.4250","360","Resistor 0603 -    10KOhm - 1/10W - 1%"
"R112","10KOhm","TopLayer","RES0603","71.1790","56.6750","180","Resistor 0603 -    10KOhm - 1/10W - 1%"
"R111","10KOhm","TopLayer","RES0603","71.1790","55.0500","360","Resistor 0603 -    10KOhm - 1/10W - 1%"
"CN603","Male","TopLayer","MOLEX_90120-0123","77.4750","28.1750","90","Connector - Header - 3-Pin - single row - Male - Molex_90120-0123"
"CN602","Male","TopLayer","MOLEX_90120-0123","61.4250","28.1750","90","Connector - Header - 3-Pin - single row - Male - Molex_90120-0123"
"CN601","Male","TopLayer","MOLEX_90120-0123","45.5250","28.1850","90","Connector - Header - 3-Pin - single row - Male - Molex_90120-0123"
"CN600","Male","TopLayer","MOLEX_90120-0123","29.6000","28.1750","90","Connector - Header - 3-Pin - single row - Male - Molex_90120-0123"
"CN207","Male","TopLayer","MOLEX_90120-0122","169.6950","46.6000","180","Connector - Header - 2-Pin - single row - Male - Molex"
"C611","100nF","TopLayer","CAP0603","73.6000","27.5250","90","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C610","100nF","TopLayer","CAP0603","73.6000","31.4750","270","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C609","100nF","TopLayer","CAP0603","45.5250","103.6000","90","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C608","100nF","TopLayer","CAP0603","57.5500","27.4250","90","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C607","100nF","TopLayer","CAP0603","57.5500","31.3500","270","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C606","100nF","TopLayer","CAP0603","43.4250","103.1000","90","Capacitor 0603 - 100nF - 16V - X7R - 10%"
"C605","100nF","TopLayer","CAP0603","40.3250","91.0500","270","Capacitor 0603 - 100nF - 16V - X7R - 10%"
